CpGs,Monocytes_EPIC,B-cells_EPIC,CD4T-cells_EPIC,NK-cells_EPIC,CD8T-cells_EPIC,Neutrophils_EPIC
cg22875823,0.4553,0.6317,0.9421,0.8511,0.9535,0.3868
cg07417146,0.2798,0.5703,0.9367,0.7642,0.9432,0.1823
cg20118717,0.1138,0.3323,0.7698,0.4414,0.6777,0.0938
cg22662844,0.4749,0.9452,0.9489,0.9278,0.9515,0.1692
cg00235484,0.1063,0.8458,0.8926,0.8762,0.8962,0.1271
cg22666015,0.0646,0.7697,0.8742,0.8828,0.8927,0.0675
cg01622606,0.106,0.667,0.7978,0.7091,0.7625,0.6133
cg11699517,0.9547,0.1237,0.9746,0.9745,0.9763,0.9416
cg21373806,0.8621,0.2645,0.9245,0.933,0.9376,0.7902
cg17633015,0.9584,0.2624,0.9582,0.9516,0.9607,0.9648
cg25315312,0.9574,0.317,0.9574,0.9642,0.968,0.9583
cg17768768,0.9573,0.1259,0.9524,0.9617,0.9581,0.9498
cg16586807,0.9184,0.3012,0.9297,0.919,0.9193,0.9116
cg19276014,0.929,0.0694,0.9326,0.9356,0.942,0.9383
cg18961589,0.8916,0.479,0.8622,0.8794,0.8552,0.8966
cg07652788,0.8909,0.3239,0.8748,0.8844,0.8858,0.8854
cg02212339,0.9506,0.0755,0.9356,0.9462,0.9411,0.9424
cg00464927,0.9428,0.0996,0.9545,0.9512,0.9642,0.9534
cg04838847,0.9639,0.2078,0.9701,0.966,0.9715,0.9661
cg04828493,0.8386,0.0292,0.9414,0.8614,0.9468,0.9535
cg26053795,0.9791,0.6737,0.9758,0.9512,0.9774,0.9765
cg21248060,0.9374,0.1001,0.9331,0.916,0.9391,0.9271
cg09201499,0.9223,0.2491,0.9521,0.9404,0.9544,0.9138
cg15533809,0.9818,0.7903,0.9791,0.9792,0.983,0.9724
cg14622549,0.9032,0.4824,0.9634,0.9121,0.9654,0.9584
cg01591579,0.955,0.1989,0.9483,0.9558,0.9553,0.9488
cg19849557,0.6391,0.2684,0.964,0.9568,0.9608,0.9518
cg05143092,0.872,0.554,0.9152,0.9148,0.9192,0.9205
cg19631815,0.9695,0.5092,0.9717,0.9755,0.9792,0.9683
cg17955329,0.8399,0.423,0.8814,0.8852,0.9058,0.8232
cg06800849,0.9652,0.6428,0.9633,0.9637,0.9765,0.9794
cg20908276,0.9713,0.5804,0.9709,0.9696,0.9709,0.9701
cg18050634,0.8258,0.0745,0.8457,0.9056,0.9205,0.7057
cg13738327,0.9614,0.1015,0.9316,0.9376,0.93,0.9608
cg17633015,0.9584,0.2624,0.9582,0.9516,0.9607,0.9648
cg25315312,0.9574,0.317,0.9574,0.9642,0.968,0.9583
cg03969079,0.9487,0.4533,0.9487,0.9515,0.952,0.9533
cg00827581,0.9547,0.5528,0.9714,0.9666,0.9726,0.9469
cg02092514,0.9387,0.3002,0.8225,0.9326,0.7954,0.9193
cg25131632,0.9473,0.0492,0.9073,0.9303,0.9079,0.9449
cg11699517,0.9547,0.1237,0.9746,0.9745,0.9763,0.9416
cg21373806,0.8621,0.2645,0.9245,0.933,0.9376,0.7902
cg00900735,0.96,0.5772,0.9557,0.9638,0.9664,0.9636
cg03717570,0.9677,0.659,0.9663,0.9684,0.9702,0.9663
cg01884715,0.8725,0.583,0.8498,0.8746,0.8819,0.8486
cg06943385,0.9118,0.6305,0.9068,0.9004,0.9216,0.8956
cg01199327,0.9434,0.3796,0.9513,0.9406,0.9537,0.9345
cg22697239,0.9373,0.292,0.9399,0.9345,0.9572,0.9129
cg04696391,0.9759,0.7672,0.9694,0.9741,0.9743,0.9775
cg10854528,0.9292,0.2551,0.9229,0.9231,0.9311,0.9248
cg24299136,0.9709,0.7395,0.9657,0.9786,0.9786,0.9761
cg09437994,0.9329,0.4407,0.9522,0.9205,0.964,0.9448
cg09848445,0.9741,0.7891,0.976,0.96,0.978,0.9761
cg23683962,0.9132,0.0965,0.9044,0.9023,0.9034,0.9061
cg20043258,0.9445,0.4727,0.9213,0.909,0.9346,0.9473
cg01453814,0.9457,0.2738,0.9446,0.6101,0.9123,0.9556
cg00041047,0.9201,0.1748,0.9189,0.3739,0.8591,0.932
cg06237487,0.8514,0.321,0.8382,0.352,0.7361,0.87
cg24188017,0.8533,0.2075,0.819,0.2208,0.702,0.8807
cg19590591,0.5304,0.182,0.9351,0.8578,0.933,0.9245
cg23755933,0.4075,0.1782,0.9568,0.8496,0.9624,0.9258
cg00762029,0.9342,0.1434,0.933,0.9288,0.9347,0.9347
cg00181849,0.9672,0.7347,0.964,0.965,0.9684,0.9613
cg27205928,0.9318,0.52,0.9333,0.9455,0.9517,0.9455
cg16492851,0.8335,0.3327,0.7631,0.8068,0.7974,0.7926
cg17768768,0.9573,0.1259,0.9524,0.9617,0.9581,0.9498
cg16586807,0.9184,0.3012,0.9297,0.919,0.9193,0.9116
cg06567596,0.9338,0.4813,0.8913,0.9348,0.7128,0.9333
cg13659700,0.8014,0.5065,0.8108,0.8627,0.6426,0.8307
cg00900735,0.96,0.5772,0.9557,0.9638,0.9664,0.9636
cg03717570,0.9677,0.659,0.9663,0.9684,0.9702,0.9663
cg06943385,0.9118,0.6305,0.9068,0.9004,0.9216,0.8956
cg01199327,0.9434,0.3796,0.9513,0.9406,0.9537,0.9345
cg22697239,0.9373,0.292,0.9399,0.9345,0.9572,0.9129
cg01152616,0.8722,0.6287,0.88,0.8815,0.8944,0.8751
cg13584784,0.8158,0.448,0.9497,0.9356,0.9545,0.9347
cg01676996,0.8184,0.5632,0.8107,0.8083,0.8321,0.8004
cg05143092,0.872,0.554,0.9152,0.9148,0.9192,0.9205
cg14331899,0.8637,0.2221,0.9321,0.9306,0.9426,0.8952
cg05480110,0.9403,0.1436,0.9398,0.9267,0.9452,0.9402
cg10067737,0.9438,0.4288,0.9429,0.9371,0.9432,0.9429
cg18445426,0.9388,0.524,0.9247,0.9228,0.927,0.9237
cg25683989,0.8882,0.0606,0.889,0.8678,0.896,0.8758
cg23087108,0.975,0.614,0.9764,0.9083,0.9823,0.981
cg05934015,0.9469,0.5485,0.9562,0.6984,0.9302,0.9507
cg02742418,0.8838,0.1782,0.8855,0.672,0.8441,0.8827
cg09717923,0.9082,0.4361,0.7134,0.8836,0.7235,0.9214
cg14936008,0.9133,0.1176,0.9082,0.9144,0.9113,0.9065
cg26615224,0.963,0.6447,0.953,0.9601,0.9638,0.9539
cg17995557,0.8688,0.0475,0.8532,0.7179,0.8612,0.8424
cg07015784,0.8494,0.367,0.9439,0.8558,0.9441,0.7867
cg06934654,0.7642,0.5653,0.9409,0.9424,0.9592,0.9063
cg01453814,0.9457,0.2738,0.9446,0.6101,0.9123,0.9556
cg00041047,0.9201,0.1748,0.9189,0.3739,0.8591,0.932
cg06237487,0.8514,0.321,0.8382,0.352,0.7361,0.87
cg24188017,0.8533,0.2075,0.819,0.2208,0.702,0.8807
cg17232476,0.8324,0.0628,0.8643,0.8661,0.8656,0.8645
cg05921138,0.2206,0.043,0.7698,0.7676,0.7404,0.8534
cg16085171,0.8962,0.1256,0.8834,0.8831,0.8949,0.8909
cg15035590,0.8996,0.1083,0.8993,0.9078,0.913,0.8964
cg03382805,0.921,0.342,0.9184,0.9028,0.9215,0.9228
cg25087423,0.9004,0.0675,0.5998,0.8654,0.8378,0.8968
cg16235962,0.8045,0.0677,0.3041,0.6679,0.4879,0.8137
cg26164712,0.8543,0.0602,0.5211,0.8434,0.7842,0.84
cg04625873,0.7372,0.0607,0.312,0.5664,0.4635,0.7019
cg03680932,0.9476,0.6765,0.9674,0.9664,0.9724,0.9629
cg07337602,0.8813,0.1266,0.9022,0.8765,0.9062,0.8175
cg18067520,0.7321,0.0384,0.8766,0.8407,0.8952,0.7883
cg21964798,0.9396,0.5728,0.9444,0.5461,0.9414,0.9105
cg19590591,0.5304,0.182,0.9351,0.8578,0.933,0.9245
cg23755933,0.4075,0.1782,0.9568,0.8496,0.9624,0.9258
cg27436324,0.9028,0.3615,0.8909,0.8886,0.9041,0.8965
cg10395806,0.9015,0.62,0.9452,0.9411,0.9505,0.8964
cg27565966,0.869,0.0571,0.8762,0.7856,0.8705,0.8632
cg05433111,0.8124,0.073,0.8305,0.6461,0.8422,0.8057
cg12349571,0.931,0.5138,0.9124,0.9199,0.933,0.9082
cg01666796,0.9524,0.4456,0.9485,0.951,0.96,0.9356
cg11199827,0.9197,0.2925,0.8945,0.9172,0.883,0.9258
cg17441377,0.9593,0.7978,0.9761,0.9667,0.978,0.9449
cg23730277,0.8873,0.118,0.8832,0.8329,0.8926,0.8674
cg14579184,0.7825,0.0912,0.8119,0.86,0.772,0.7924
cg26318872,0.8964,0.1252,0.8826,0.8803,0.8937,0.8825
cg16931707,0.903,0.2896,0.904,0.8979,0.9063,0.9071
cg04315214,0.829,0.3837,0.9173,0.8759,0.9472,0.9098
cg13918804,0.4839,0.4114,0.6527,0.6211,0.6661,0.5261
cg08817507,0.9383,0.4198,0.9329,0.9347,0.9334,0.9227
cg23881099,0.9374,0.4661,0.9201,0.9166,0.9144,0.9225
cg10842070,0.9556,0.5261,0.7806,0.9421,0.916,0.9481
cg05898333,0.8708,0.4513,0.6631,0.8258,0.762,0.8591
cg14060402,0.8956,0.0749,0.8983,0.8991,0.9009,0.8827
cg11193201,0.6912,0.0643,0.8538,0.8532,0.8748,0.7975
cg11020333,0.9246,0.3639,0.9185,0.914,0.926,0.92
cg06091647,0.9033,0.2797,0.8787,0.6577,0.8809,0.8986
cg10067737,0.9438,0.4288,0.9429,0.9371,0.9432,0.9429
cg18445426,0.9388,0.524,0.9247,0.9228,0.927,0.9237
cg18092363,0.9724,0.8047,0.9709,0.9732,0.975,0.9765
cg02231062,0.7756,0.1139,0.7167,0.8525,0.8116,0.845
cg25314733,0.8659,0.3488,0.8985,0.8876,0.9148,0.8894
cg04576021,0.8032,0.153,0.9011,0.8589,0.9082,0.7852
cg27224881,0.901,0.2071,0.8702,0.8739,0.847,0.8769
cg22045055,0.7379,0.148,0.8647,0.8904,0.8642,0.8933
cg16695253,0.5146,0.0526,0.8376,0.4846,0.8514,0.8779
cg16471167,0.3178,0.0719,0.5294,0.3167,0.5584,0.6704
cg16256592,0.8812,0.3436,0.8741,0.8527,0.8786,0.8671
cg02027263,0.899,0.27,0.8977,0.8591,0.8969,0.8944
cg16280667,0.861,0.0701,0.5916,0.8597,0.8342,0.8836
cg26164712,0.8543,0.0602,0.5211,0.8434,0.7842,0.84
cg11872040,0.9521,0.5789,0.9412,0.9302,0.8904,0.9527
cg27579854,0.8918,0.3688,0.8009,0.8051,0.7549,0.8824
cg07493874,0.9296,0.4478,0.8252,0.92,0.9304,0.9231
cg14733637,0.9139,0.5814,0.8489,0.9189,0.9094,0.9231
cg05905124,0.9019,0.5172,0.6227,0.8483,0.7337,0.8816
cg09799039,0.9188,0.5167,0.904,0.9089,0.9039,0.9188
cg11160673,0.6082,0.0614,0.8842,0.7945,0.8946,0.8347
cg07110949,0.966,0.9285,0.3816,0.9519,0.6097,0.9604
cg21565496,0.9626,0.9678,0.3946,0.9513,0.5911,0.9532
cg27128883,0.975,0.9019,0.6276,0.966,0.8926,0.9703
cg09276842,0.9661,0.9401,0.6275,0.9554,0.8719,0.9636
cg15039797,0.9728,0.9708,0.322,0.308,0.6911,0.9701
cg21387735,0.971,0.9683,0.5453,0.8359,0.6671,0.9699
cg19001909,0.9618,0.9598,0.1861,0.9184,0.2252,0.9585
cg23635663,0.9618,0.9524,0.6505,0.9439,0.9068,0.9553
cg11236515,0.9798,0.9303,0.1535,0.8898,0.2584,0.9736
cg07876450,0.9618,0.9673,0.7097,0.9564,0.9551,0.9556
cg24885442,0.9596,0.953,0.6642,0.9472,0.9387,0.9466
cg10730425,0.9726,0.9666,0.5552,0.9674,0.5616,0.9708
cg12419766,0.9562,0.9602,0.5913,0.9428,0.8727,0.9543
cg26003388,0.9698,0.9596,0.5508,0.9328,0.6721,0.9578
cg07876450,0.9618,0.9673,0.7097,0.9564,0.9551,0.9556
cg24885442,0.9596,0.953,0.6642,0.9472,0.9387,0.9466
cg16452866,0.9668,0.9594,0.0768,0.9381,0.1375,0.965
cg01154505,0.9713,0.8276,0.2777,0.954,0.7242,0.9696
cg03388043,0.9528,0.9436,0.0441,0.7723,0.0448,0.9411
cg10505658,0.8414,0.8108,0.1099,0.577,0.1056,0.8144
cg01877778,0.9727,0.974,0.7193,0.9658,0.6938,0.9735
cg11848483,0.9278,0.9056,0.1172,0.8846,0.267,0.9179
cg12044599,0.9681,0.7166,0.1768,0.7987,0.3189,0.9647
cg23468927,0.8661,0.6501,0.1666,0.5411,0.2484,0.8196
cg00791190,0.8511,0.6284,0.5706,0.9429,0.838,0.9531
cg12644845,0.9701,0.9613,0.3762,0.9284,0.636,0.963
cg07970040,0.9566,0.9392,0.1766,0.6964,0.257,0.943
cg04340595,0.9413,0.9147,0.1183,0.5609,0.255,0.9172
cg08484479,0.9714,0.9704,0.7816,0.9659,0.8214,0.9681
cg09032544,0.9638,0.9614,0.0733,0.1419,0.0643,0.9522
cg09234252,0.9247,0.9282,0.1337,0.3274,0.0762,0.9002
cg07786657,0.9724,0.969,0.059,0.1095,0.0601,0.963
cg14522718,0.9363,0.913,0.192,0.7221,0.3353,0.9076
cg06164961,0.9004,0.8938,0.0744,0.6933,0.0662,0.8903
cg24612198,0.9133,0.9124,0.0967,0.771,0.0935,0.8972
cg25226014,0.9125,0.8969,0.0779,0.5487,0.1888,0.906
cg01083549,0.9425,0.9658,0.6747,0.9546,0.7966,0.9296
cg08450017,0.9554,0.9573,0.0541,0.429,0.0967,0.9504
cg27316811,0.9686,0.9323,0.4164,0.9362,0.1845,0.9679
cg01874152,0.9192,0.8172,0.0827,0.8279,0.3658,0.9045
cg26472802,0.9732,0.9005,0.4336,0.8311,0.2654,0.9713
cg23366234,0.9782,0.9167,0.6149,0.888,0.4574,0.9745
cg01366941,0.9353,0.9361,0.219,0.4199,0.3754,0.9383
cg12047375,0.9046,0.8673,0.3161,0.809,0.7869,0.8555
cg13619891,0.8941,0.9206,0.1501,0.8202,0.1271,0.9047
cg04162316,0.938,0.9371,0.4168,0.9186,0.8378,0.919
cg03641640,0.9667,0.9572,0.6605,0.9454,0.7374,0.9609
cg25599673,0.9024,0.8566,0.2272,0.8838,0.5224,0.8878
cg01040649,0.9068,0.7784,0.1984,0.8499,0.4598,0.8988
cg25599673,0.9024,0.8566,0.2272,0.8838,0.5224,0.8878
cg01040649,0.9068,0.7784,0.1984,0.8499,0.4598,0.8988
cg14597739,0.9315,0.0545,0.0931,0.323,0.1182,0.908
cg17169196,0.9059,0.038,0.061,0.2812,0.0709,0.8983
cg21999229,0.9165,0.0292,0.075,0.2262,0.0852,0.8648
cg14437551,0.9326,0.0146,0.0417,0.1266,0.0482,0.9151
cg20105257,0.9221,0.8608,0.2399,0.7973,0.141,0.9337
cg08338281,0.9168,0.7383,0.0638,0.8688,0.0586,0.9183
cg11893955,0.8994,0.5875,0.1375,0.4006,0.1291,0.9221
cg02387618,0.9141,0.9184,0.347,0.7766,0.4291,0.9108
cg04716447,0.6398,0.3525,0.0948,0.4798,0.0814,0.6776
cg14480046,0.8826,0.3147,0.096,0.6384,0.0761,0.8848
cg23825480,0.9064,0.9091,0.139,0.6139,0.2422,0.8741
cg25673720,0.9138,0.9014,0.3416,0.8673,0.5434,0.9147
cg17984638,0.9066,0.9109,0.1177,0.0706,0.2621,0.8975
cg14597739,0.9315,0.0545,0.0931,0.323,0.1182,0.908
cg17169196,0.9059,0.038,0.061,0.2812,0.0709,0.8983
cg21999229,0.9165,0.0292,0.075,0.2262,0.0852,0.8648
cg14437551,0.9326,0.0146,0.0417,0.1266,0.0482,0.9151
cg13496119,0.9202,0.9234,0.1972,0.9124,0.3058,0.929
cg07015803,0.9496,0.9475,0.0965,0.9281,0.1445,0.9442
cg17615629,0.931,0.8524,0.0973,0.8048,0.0946,0.9296
cg07570898,0.9184,0.824,0.438,0.8996,0.6893,0.9045
cg02661764,0.7825,0.844,0.1369,0.8799,0.421,0.7998
cg24150662,0.958,0.9339,0.3701,0.8623,0.3005,0.9617
cg06201717,0.9082,0.8581,0.4142,0.8404,0.3774,0.9074
cg24841244,0.897,0.9076,0.0752,0.862,0.0597,0.8797
cg15260951,0.925,0.7923,0.3886,0.8813,0.7864,0.9236
cg26472802,0.9732,0.9005,0.4336,0.8311,0.2654,0.9713
cg23366234,0.9782,0.9167,0.6149,0.888,0.4574,0.9745
cg24118521,0.9523,0.8082,0.5942,0.8907,0.5952,0.9576
cg05506829,0.9074,0.8152,0.6902,0.8412,0.6754,0.9018
cg23881368,0.8809,0.7282,0.5588,0.7882,0.5405,0.8736
cg07075299,0.9253,0.8883,0.78,0.9056,0.7931,0.9184
cg13521018,0.8981,0.8708,0.1278,0.0802,0.0462,0.9153
cg17444479,0.9402,0.917,0.0809,0.0472,0.0305,0.9499
cg09800500,0.9659,0.6134,0.3661,0.7782,0.453,0.9687
cg17820878,0.9592,0.9644,0.6633,0.9519,0.5435,0.9288
cg13015616,0.8338,0.797,0.0965,0.2484,0.1755,0.8195
cg08179431,0.8929,0.8658,0.1362,0.4182,0.2802,0.8816
cg22277485,0.8953,0.873,0.2702,0.7023,0.4305,0.8636
cg14531564,0.953,0.8594,0.4346,0.8889,0.632,0.9526
cg07970040,0.9566,0.9392,0.1766,0.6964,0.257,0.943
cg04340595,0.9413,0.9147,0.1183,0.5609,0.255,0.9172
cg12051710,0.8919,0.8878,0.4761,0.8752,0.7027,0.8926
cg10414881,0.8865,0.7379,0.2055,0.7432,0.2051,0.8851
cg20042612,0.9704,0.967,0.4836,0.2122,0.3344,0.9659
cg16193207,0.8823,0.8751,0.2078,0.8144,0.3919,0.8558
cg14597739,0.9315,0.0545,0.0931,0.323,0.1182,0.908
cg17169196,0.9059,0.038,0.061,0.2812,0.0709,0.8983
cg02402436,0.8246,0.0295,0.0588,0.1511,0.0792,0.7662
cg21999229,0.9165,0.0292,0.075,0.2262,0.0852,0.8648
cg14437551,0.9326,0.0146,0.0417,0.1266,0.0482,0.9151
cg13815684,0.9232,0.3011,0.1446,0.7691,0.1602,0.9129
cg26348243,0.9446,0.1755,0.0811,0.6376,0.1124,0.9301
cg17709873,0.8975,0.292,0.1762,0.6716,0.2121,0.8895
cg22318806,0.7389,0.2094,0.1641,0.4239,0.1754,0.6969
cg14597739,0.9315,0.0545,0.0931,0.323,0.1182,0.908
cg17169196,0.9059,0.038,0.061,0.2812,0.0709,0.8983
cg02402436,0.8246,0.0295,0.0588,0.1511,0.0792,0.7662
cg21999229,0.9165,0.0292,0.075,0.2262,0.0852,0.8648
cg14437551,0.9326,0.0146,0.0417,0.1266,0.0482,0.9151
cg00052964,0.835,0.9293,0.5152,0.8732,0.6879,0.928
cg24008435,0.9106,0.8648,0.3888,0.8735,0.6514,0.9047
cg13815684,0.9232,0.3011,0.1446,0.7691,0.1602,0.9129
cg26348243,0.9446,0.1755,0.0811,0.6376,0.1124,0.9301
cg17709873,0.8975,0.292,0.1762,0.6716,0.2121,0.8895
cg22318806,0.7389,0.2094,0.1641,0.4239,0.1754,0.6969
cg13651908,0.8559,0.8412,0.1382,0.7788,0.3741,0.826
cg10240150,0.8693,0.8656,0.0926,0.7932,0.305,0.824
cg03172657,0.6873,0.8337,0.3004,0.8173,0.0772,0.6625
cg07661835,0.8295,0.8294,0.3932,0.825,0.1201,0.8111
cg08570691,0.9638,0.7999,0.6388,0.9286,0.6038,0.9618
cg11252555,0.9697,0.833,0.697,0.942,0.6332,0.968
cg09104284,0.9456,0.8909,0.7506,0.9336,0.8851,0.9371
cg07794169,0.9171,0.8934,0.774,0.9168,0.8682,0.9195
cg00944599,0.9253,0.8929,0.3623,0.9098,0.732,0.9006
cg25140783,0.8742,0.4883,0.0971,0.0994,0.087,0.8836
cg26692749,0.748,0.4285,0.0631,0.0613,0.0528,0.7885
cg20504474,0.7507,0.886,0.1686,0.0615,0.2272,0.7262
cg01804183,0.903,0.8589,0.3275,0.8464,0.4587,0.8909
cg22689323,0.8752,0.893,0.096,0.2532,0.0696,0.866
cg01525879,0.8622,0.8958,0.2398,0.6907,0.5771,0.7796
cg16374333,0.8908,0.9,0.1162,0.1563,0.0814,0.8616
cg04724177,0.9621,0.8256,0.728,0.9717,0.9633,0.9656
cg05949181,0.8535,0.607,0.2269,0.7436,0.3896,0.8533
cg08482359,0.961,0.9588,0.7604,0.9542,0.9298,0.9421
cg18070458,0.8679,0.8329,0.412,0.8682,0.5373,0.7395
cg08570691,0.9638,0.7999,0.6388,0.9286,0.6038,0.9618
cg11252555,0.9697,0.833,0.697,0.942,0.6332,0.968
cg03254928,0.7798,0.7576,0.0728,0.7701,0.0614,0.7615
cg13750061,0.8248,0.8689,0.1043,0.8555,0.088,0.8836
cg23357533,0.8914,0.8943,0.2443,0.8762,0.4783,0.8768
cg03016153,0.705,0.8534,0.0766,0.3647,0.0907,0.8632
cg09088496,0.9086,0.8917,0.1252,0.2237,0.0914,0.8918
cg02600394,0.8212,0.8393,0.1262,0.0851,0.2376,0.7432
cg20981615,0.8637,0.8977,0.1199,0.0737,0.239,0.762
cg24430034,0.9616,0.9686,0.9301,0.1803,0.884,0.9669
cg26573274,0.9535,0.9564,0.9191,0.1551,0.8819,0.9562
cg02407068,0.9805,0.9828,0.9705,0.611,0.8883,0.974
cg24430034,0.9616,0.9686,0.9301,0.1803,0.884,0.9669
cg26573274,0.9535,0.9564,0.9191,0.1551,0.8819,0.9562
cg21333217,0.9696,0.9716,0.9402,0.2362,0.712,0.9681
cg00805874,0.9466,0.9655,0.9246,0.0981,0.6213,0.9421
cg06636203,0.887,0.9758,0.9322,0.5009,0.7495,0.7713
cg25470384,0.9676,0.9729,0.9564,0.4964,0.8326,0.9602
cg04603811,0.9398,0.9824,0.9148,0.3815,0.6238,0.8592
cg09788778,0.9396,0.972,0.9209,0.2582,0.7053,0.8952
cg11645762,0.6292,0.7552,0.6882,0.158,0.4975,0.5707
cg27287951,0.9668,0.834,0.9506,0.228,0.8555,0.9696
cg26648465,0.9014,0.9708,0.9533,0.3163,0.9655,0.8595
cg23520889,0.9845,0.9846,0.9776,0.7911,0.9789,0.9791
cg00805874,0.9466,0.9655,0.9246,0.0981,0.6213,0.9421
cg25470384,0.9676,0.9729,0.9564,0.4964,0.8326,0.9602
cg04603811,0.9398,0.9824,0.9148,0.3815,0.6238,0.8592
cg09788778,0.9396,0.972,0.9209,0.2582,0.7053,0.8952
cg11645762,0.6292,0.7552,0.6882,0.158,0.4975,0.5707
cg17893934,0.9639,0.9706,0.9386,0.3642,0.8972,0.9553
cg10107671,0.9793,0.944,0.966,0.6632,0.9715,0.9794
cg15956469,0.9559,0.9507,0.9351,0.1423,0.8326,0.949
cg22521333,0.974,0.9678,0.9622,0.6533,0.9722,0.9678
cg18740289,0.9734,0.9734,0.9634,0.6604,0.9075,0.9744
cg11792824,0.913,0.8954,0.8711,0.6662,0.8377,0.8928
cg13127825,0.5771,0.8956,0.5892,0.2619,0.4824,0.5184
cg00805874,0.9466,0.9655,0.9246,0.0981,0.6213,0.9421
cg25470384,0.9676,0.9729,0.9564,0.4964,0.8326,0.9602
cg04603811,0.9398,0.9824,0.9148,0.3815,0.6238,0.8592
cg25013586,0.5839,0.8124,0.5893,0.3626,0.5117,0.5384
cg25861453,0.6758,0.9012,0.7306,0.3503,0.5691,0.5852
cg24612059,0.9752,0.9742,0.9735,0.5361,0.979,0.9761
cg15690475,0.9762,0.9735,0.9721,0.4978,0.9758,0.9788
cg00459243,0.8689,0.9724,0.9478,0.5245,0.847,0.7462
cg10917426,0.965,0.9775,0.9658,0.5581,0.9507,0.9123
cg16463880,0.9062,0.9716,0.941,0.4818,0.8953,0.8111
cg04392554,0.9621,0.9479,0.9424,0.306,0.8204,0.9633
cg00805874,0.9466,0.9655,0.9246,0.0981,0.6213,0.9421
cg06636203,0.887,0.9758,0.9322,0.5009,0.7495,0.7713
cg25470384,0.9676,0.9729,0.9564,0.4964,0.8326,0.9602
cg09788778,0.9396,0.972,0.9209,0.2582,0.7053,0.8952
cg11645762,0.6292,0.7552,0.6882,0.158,0.4975,0.5707
cg18479798,0.9777,0.9801,0.968,0.5461,0.841,0.9746
cg09061454,0.9789,0.9774,0.9671,0.6659,0.8912,0.9762
cg24612059,0.9752,0.9742,0.9735,0.5361,0.979,0.9761
cg15690475,0.9762,0.9735,0.9721,0.4978,0.9758,0.9788
cg15729230,0.9599,0.957,0.722,0.1496,0.6015,0.9439
cg18247172,0.9122,0.9512,0.8621,0.2152,0.744,0.8797
cg05875239,0.9363,0.9256,0.9282,0.0647,0.9055,0.9358
cg17566718,0.9632,0.9614,0.959,0.6464,0.9636,0.964
cg20949306,0.9569,0.964,0.9496,0.5425,0.8688,0.9556
cg08876481,0.8414,0.91,0.9167,0.3226,0.9004,0.795
cg06296597,0.814,0.9254,0.8963,0.3405,0.8428,0.7824
cg12500857,0.9131,0.8177,0.9073,0.0976,0.9073,0.9217
cg21828319,0.9002,0.767,0.8918,0.1434,0.8839,0.9008
cg12550496,0.9598,0.9697,0.8437,0.4692,0.8192,0.9625
cg10213762,0.9725,0.9788,0.9144,0.632,0.9044,0.9757
cg26101890,0.9562,0.9579,0.946,0.5429,0.937,0.9478
cg09776718,0.961,0.9711,0.9255,0.6348,0.9294,0.925
cg00910503,0.9537,0.8972,0.9517,0.4832,0.9604,0.9488
cg15039797,0.9728,0.9708,0.322,0.308,0.6911,0.9701
cg24137511,0.9699,0.9726,0.9597,0.3282,0.9512,0.9664
cg06706159,0.9543,0.958,0.9364,0.3321,0.9252,0.9492
cg16183122,0.9534,0.9524,0.9299,0.4781,0.931,0.944
cg12226453,0.9587,0.9528,0.936,0.4119,0.6598,0.9494
cg18973586,0.9646,0.9665,0.9552,0.6443,0.7464,0.961
cg12803060,0.9487,0.9598,0.9509,0.6536,0.9167,0.9648
cg04925085,0.9783,0.9796,0.9717,0.799,0.9753,0.9716
cg12550496,0.9598,0.9697,0.8437,0.4692,0.8192,0.9625
cg10213762,0.9725,0.9788,0.9144,0.632,0.9044,0.9757
cg17720554,0.8375,0.8345,0.7784,0.4556,0.7671,0.8239
cg20042612,0.9704,0.967,0.4836,0.2122,0.3344,0.9659
cg27274718,0.8861,0.8937,0.8814,0.1424,0.886,0.8757
cg21813265,0.9455,0.9622,0.9481,0.6427,0.9327,0.9316
cg12226453,0.9587,0.9528,0.936,0.4119,0.6598,0.9494
cg18973586,0.9646,0.9665,0.9552,0.6443,0.7464,0.961
cg13617280,0.9541,0.9574,0.9504,0.1035,0.9445,0.9011
cg16316183,0.8656,0.8902,0.8933,0.1488,0.8828,0.7094
cg24410690,0.8982,0.9117,0.9055,0.1779,0.9118,0.8715
cg24586376,0.9673,0.9569,0.855,0.6124,0.934,0.9664
cg08415156,0.6922,0.904,0.9052,0.1925,0.8832,0.5188
cg02176148,0.9412,0.937,0.9306,0.4802,0.9214,0.9271
cg14059988,0.9381,0.9312,0.9304,0.8735,0.9296,0.9279
cg00293189,0.9129,0.8777,0.7279,0.1846,0.7244,0.902
cg08876481,0.8414,0.91,0.9167,0.3226,0.9004,0.795
cg06296597,0.814,0.9254,0.8963,0.3405,0.8428,0.7824
cg22795307,0.961,0.9555,0.9556,0.6899,0.9472,0.9579
cg12332083,0.9654,0.9656,0.9149,0.5767,0.9566,0.961
cg10584478,0.6848,0.9236,0.8999,0.22,0.9131,0.453
cg06183287,0.8962,0.8488,0.799,0.2904,0.7765,0.9004
cg01416168,0.9023,0.8928,0.8789,0.176,0.7974,0.9021
cg09115713,0.942,0.8037,0.6156,0.1559,0.5046,0.9599
cg03831847,0.9696,0.8204,0.6387,0.1718,0.5395,0.9702
cg08798862,0.865,0.7133,0.581,0.2194,0.4559,0.8625
